ticker,category,snapshots,persistence_pct
OGN,Top Gainers,1,0.3144654088050315
OLOX,New Low,1,0.3144654088050315
OLPX,New High,25,7.861635220125786
OLPX,Top Gainers,10,3.1446540880503147
OLPX,Unusual Volume,4,1.257861635220126
OMEX,Most Active,5,1.5723270440251573
OMEX,Top Gainers,25,7.861635220125786
OMEX,Top Losers,15,4.716981132075472
OMEX,Unusual Volume,26,8.176100628930817
ONCO,New Low,9,2.8301886792452833
ONCO,Top Gainers,21,6.60377358490566
ONCO,Top Losers,4,1.257861635220126
ONCO,Unusual Volume,25,7.861635220125786
ONEG,Top Losers,2,0.628930817610063
ONON,Insider Selling,1,0.3144654088050315
OPTX,New High,7,2.20125786163522
ORGN,Top Losers,21,6.60377358490566
ORIC,Top Losers,10,3.1446540880503147
ORKA,New High,26,8.176100628930817
OTLK,New Low,26,8.176100628930817
OVID,New High,19,5.9748427672955975
OXBR,Top Losers,12,3.7735849056603774
PAVS,Most Active,26,8.176100628930817
PAVS,Top Gainers,23,7.232704402515723
PAVS,Unusual Volume,7,2.20125786163522
PAYP,New High,1,0.3144654088050315
PAYS,Top Gainers,22,6.918238993710692
PB,Insider Selling,2,0.628930817610063
PBF,Insider Selling,6,1.8867924528301887
PBOT,Unusual Volume,1,0.3144654088050315
PDC,Top Losers,40,12.578616352201259
PERI,Insider Selling,1,0.3144654088050315
PFG,Insider Buying,1,0.3144654088050315
PFG,Insider Selling,1,0.3144654088050315
PFSA,Most Active,25,7.861635220125786
PFSA,Top Gainers,26,8.176100628930817
PFSA,Top Losers,26,8.176100628930817
PFSA,Unusual Volume,26,8.176100628930817
PGC,Insider Buying,4,1.257861635220126
PHR,Insider Selling,2,0.628930817610063
PHVS,Insider Selling,1,0.3144654088050315
PICS,Insider Buying,7,2.20125786163522
PINE,Insider Selling,1,0.3144654088050315
PLAB,Insider Selling,7,2.20125786163522
PLMR,Insider Selling,4,1.257861635220126
PLYX,Top Gainers,1,0.3144654088050315
PMJL,Unusual Volume,5,1.5723270440251573
PN,New Low,4,1.257861635220126
PN,Top Losers,23,7.232704402515723
PONY,Insider Selling,2,0.628930817610063
POWL,Insider Selling,2,0.628930817610063
PPSI,Top Losers,9,2.8301886792452833
PRFX,Top Gainers,1,0.3144654088050315
PRLD,New High,5,1.5723270440251573
PROP,New Low,1,0.3144654088050315
PROP,Top Losers,27,8.49056603773585
PTLE,Top Gainers,1,0.3144654088050315
PTLE,Top Losers,7,2.20125786163522
PULM,Top Losers,10,3.1446540880503147
PVH,Overbought,1,0.3144654088050315
QNCX,Most Active,26,8.176100628930817
QNCX,Top Gainers,13,4.088050314465408
QNCX,Top Losers,21,6.60377358490566
QNRX,Unusual Volume,3,0.9433962264150944
QNTM,Top Gainers,9,2.8301886792452833
QSI,Insider Selling,2,0.628930817610063
QUIK,New High,2,0.628930817610063
RADX,Unusual Volume,11,3.459119496855346
RAYA,Most Active,26,8.176100628930817
RAYA,New Low,13,4.088050314465408
RAYA,Top Gainers,51,16.037735849056602
RAYA,Unusual Volume,51,16.037735849056602
RBNE,Top Gainers,26,8.176100628930817
RCG,Insider Buying,28,8.80503144654088
RCT,New Low,5,1.5723270440251573
RDGT,Most Active,33,10.377358490566039
RDGT,New Low,84,26.41509433962264
RDGT,Top Gainers,25,7.861635220125786
RDGT,Top Losers,70,22.0125786163522
RDGT,Unusual Volume,17,5.345911949685535
RENX,Top Gainers,5,1.5723270440251573
REPL,Top Losers,1,0.3144654088050315
REPX,Insider Selling,1,0.3144654088050315
RFAI,Unusual Volume,10,3.1446540880503147
RGCO,Insider Buying,3,0.9433962264150944
RLAY,New High,22,6.918238993710692
RMD,Insider Selling,2,0.628930817610063
RMSG,Most Active,23,7.232704402515723
RMSG,Top Gainers,24,7.547169811320755
RMSG,Unusual Volume,23,7.232704402515723
RMT,Insider Buying,1,0.3144654088050315
RNG,Insider Selling,2,0.628930817610063
ROMA,New High,9,2.8301886792452833
ROMA,Top Gainers,7,2.20125786163522
ROMA,Top Losers,8,2.515723270440252
ROOT,Insider Selling,1,0.3144654088050315
RRC,Insider Selling,1,0.3144654088050315
RSI,Insider Selling,3,0.9433962264150944
RYDE,New High,40,12.578616352201259
RYM,Top Gainers,4,1.257861635220126
RYN,Insider Selling,2,0.628930817610063
RYZ,Insider Selling,1,0.3144654088050315
RZLT,Top Gainers,2,0.628930817610063
SAP,Downgrades,12,3.7735849056603774
SATL,New High,22,6.918238993710692
SBDS,Insider Buying,2,0.628930817610063
SBSW,Insider Buying,9,2.8301886792452833
SBUX,Insider Selling,1,0.3144654088050315
SCNX,New Low,22,6.918238993710692
SDRL,New High,3,0.9433962264150944
SELX,Unusual Volume,26,8.176100628930817
SER,Top Losers,4,1.257861635220126
SERV,Insider Selling,1,0.3144654088050315
SEZL,Top Losers,1,0.3144654088050315
SGHT,Insider Selling,1,0.3144654088050315
SGML,Top Gainers,1,0.3144654088050315
SHPH,New Low,17,5.345911949685535
SIDU,Top Gainers,12,3.7735849056603774
SILO,Top Gainers,4,1.257861635220126
SILO,Unusual Volume,17,5.345911949685535
SKYQ,Most Active,2,0.628930817610063
SKYQ,Overbought,1,0.3144654088050315
SKYQ,Top Gainers,75,23.58490566037736
SKYQ,Unusual Volume,26,8.176100628930817
SLB,Insider Selling,1,0.3144654088050315
SLG,Insider Selling,1,0.3144654088050315
SLGL,Top Gainers,7,2.20125786163522
SLND,Top Losers,3,0.9433962264150944
SLNG,Top Losers,1,0.3144654088050315
SLNH,Insider Selling,4,1.257861635220126
SLNO,Top Gainers,7,2.20125786163522
SM,Insider Selling,3,0.9433962264150944
SMPL,New Low,21,6.60377358490566
SMPL,Top Losers,2,0.628930817610063
SMTC,Insider Selling,4,1.257861635220126
SMX,New Low,8,2.515723270440252
SMX,Top Gainers,24,7.547169811320755
SMX,Top Losers,28,8.80503144654088
SNBR,New Low,24,7.547169811320755
SNBR,Oversold,4,1.257861635220126
SNBR,Top Gainers,12,3.7735849056603774
SNBR,Top Losers,6,1.8867924528301887
SNPD,Unusual Volume,3,0.9433962264150944
SONM,Top Gainers,1,0.3144654088050315
SPE,Insider Selling,6,1.8867924528301887
SPIR,New High,24,7.547169811320755
SPRB,Top Gainers,1,0.3144654088050315
SQFT,Top Gainers,15,4.716981132075472
SQFT,Unusual Volume,51,16.037735849056602
SRPT,Top Gainers,3,0.9433962264150944
SSSS,New High,4,1.257861635220126
SST,Top Gainers,29,9.119496855345911
