symbol,date,open,high,low,close,volume
RENX,2026-02-18,3.158,4.6,3.098,3.964,9611066.35
RENX,2026-02-19,3.724,3.742,3.1,3.258,573941.75
RENX,2026-02-20,3.356,3.47,2.846,3.02,353921.45
RENX,2026-02-23,3.1,3.24,2.8,3.102,414452.4
RENX,2026-02-24,3.002,3.196,2.82,2.87,358241.8
RENX,2026-02-25,2.922,3.068,2.854,2.952,211326.2
RENX,2026-02-26,2.882,2.988,2.744,2.828,217076.8
RENX,2026-02-27,2.878,2.948,2.63,2.784,237822.1
RENX,2026-03-02,2.62,2.694,2.5,2.62,149547.35
RENX,2026-03-03,2.522,2.636,2.4,2.47,146778.35
RENX,2026-03-04,2.544,2.712,2.362,2.622,248876.15
RENX,2026-03-05,2.596,2.772,2.498,2.6,215206.1
RENX,2026-03-06,2.496,2.558,2.34,2.38,150252.35
RENX,2026-03-09,2.348,2.798,2.3,2.734,311123.2
RENX,2026-03-10,2.892,3.02,2.55,2.612,1019109.35
RENX,2026-03-11,2.504,3.058,2.47,2.916,978786.1
RENX,2026-03-12,2.9,3.932,2.768,3.444,2585159.75
RENX,2026-03-13,3.29,3.438,2.8,3.164,614084.1
RENX,2026-03-16,2.958,3.088,2.7,2.754,312989.6
RENX,2026-03-17,2.794,2.962,2.746,2.758,161130.5
RENX,2026-03-18,2.738,2.874,2.546,2.606,223108.0
RENX,2026-03-19,2.61,2.678,2.49,2.56,192039.05
RENX,2026-03-20,2.6,2.814,2.522,2.814,147320.8
RENX,2026-03-23,2.78,2.81,2.642,2.78,130668.75
RENX,2026-03-24,2.0,2.084,1.782,1.902,588268.85
RENX,2026-03-25,1.932,2.038,1.86,1.888,154855.95
RENX,2026-03-26,1.95,2.04,1.69,1.82,524182.0
RENX,2026-03-27,1.84,1.945,1.5102,1.58,816360.0
RENX,2026-03-30,1.54,1.62,1.42,1.59,183362.0
RENX,2026-03-31,1.72,1.83,1.67,1.78,671586.0
RENX,2026-04-01,2.455,3.48,2.285,2.61,56542791.0
RENX,2026-04-02,2.41,2.44,1.91,2.02,1086213.0
RENX,2026-04-06,2.36,2.62,2.28,2.41,4665177.0
RENX,2026-04-07,2.31,2.9145,2.31,2.68,1012456.0
RENX,2026-04-08,2.87,3.11,2.73,2.82,828185.0
RENX,2026-04-09,2.72,2.85,2.51,2.63,265652.0
RENX,2026-04-10,2.63,2.6867,2.32,2.4,203049.0
RENX,2026-04-13,2.51,2.7699,2.51,2.76,240661.0
RENX,2026-04-14,2.69,3.15,2.52,2.86,623883.0
RENX,2026-04-15,2.76,2.84,2.6401,2.65,201101.0
RENX,2026-04-16,2.61,2.63,2.505,2.515,160225.0
IMMP,2026-02-11,2.76,2.825,2.6801,2.79,84305.0
IMMP,2026-02-12,2.8,2.8,2.69,2.74,79543.0
IMMP,2026-02-13,2.7,2.7413,2.64,2.64,124824.0
IMMP,2026-02-17,2.65,2.79,2.625,2.77,102695.0
IMMP,2026-02-18,2.77,2.83,2.77,2.8,91284.0
IMMP,2026-02-19,2.77,2.86,2.745,2.86,71417.0
IMMP,2026-02-20,2.86,2.93,2.78,2.79,49947.0
IMMP,2026-02-23,2.79,2.97,2.79,2.88,299869.0
IMMP,2026-02-24,2.85,2.85,2.715,2.8,117639.0
IMMP,2026-02-25,2.8,2.8331,2.77,2.79,87596.0
IMMP,2026-02-26,2.71,2.87,2.71,2.74,242963.0
IMMP,2026-02-27,2.78,2.86,2.73,2.8,272055.0
IMMP,2026-03-02,2.74,2.74,2.63,2.67,138820.0
IMMP,2026-03-03,2.67,2.68,2.55,2.64,150766.0
IMMP,2026-03-04,2.64,2.765,2.5211,2.73,304028.0
IMMP,2026-03-05,2.74,2.775,2.68,2.76,92337.0
IMMP,2026-03-06,2.76,2.76,2.76,2.76,0.0
IMMP,2026-03-09,2.76,2.76,2.76,2.76,0.0
IMMP,2026-03-10,2.76,2.76,2.76,2.76,0.0
IMMP,2026-03-11,2.76,2.76,2.76,2.76,0.0
IMMP,2026-03-12,2.76,2.76,2.76,2.76,0.0
IMMP,2026-03-13,0.55,0.5592,0.4575,0.4846,31070649.0
IMMP,2026-03-16,0.4862,0.4944,0.4253,0.4653,5250836.0
IMMP,2026-03-17,0.42,0.4239,0.3951,0.405,3232238.0
IMMP,2026-03-18,0.4,0.45,0.4,0.4155,1781535.0
IMMP,2026-03-19,0.415,0.4213,0.3918,0.4126,996871.0
IMMP,2026-03-20,0.3975,0.4099,0.376,0.3947,1234479.0
IMMP,2026-03-23,0.3865,0.3913,0.374,0.3852,701160.0
IMMP,2026-03-24,0.3702,0.379,0.3518,0.361,1572458.0
IMMP,2026-03-25,0.3654,0.38,0.3642,0.368,499104.0
IMMP,2026-03-26,0.3696,0.3788,0.3523,0.3601,412781.0
IMMP,2026-03-27,0.371,0.371,0.3522,0.3525,398327.0
