symbol,scan_date,catalyst_type,catalyst_strength,gap_percentage,volume_ratio,quality_score,intraday_return,overnight_return,max_return_3d,close_price,volume,float_shares,short_ratio,short_percent,is_runner
IBIO,2025-10-30,OTHER,3,0.07792207792207785,0.70689,22.536748178421114,-0.08284029595503849,-0.019354820846890507,0.1677419344914939,1.5499999523162842,15156800.0,21440974.0,0.16,0.052800003,False
IDN,2025-11-13,EARNINGS,9,0.46997767857142836,0.51415,52.29679376383929,0.09380526088942029,-0.017799297691375088,0.10841425483891352,6.179999828338623,11196500.0,19207391.0,0.51,0.018,False
IFRX,2025-11-07,FDA,7,0.5500000000000002,1.02677,41.102213195601855,0.03361341170559033,0.43902435242219706,0.5772357944203851,1.2300000190734863,25890700.0,108901572.0,,0.0,True
IFRX,2025-11-10,OTHER,3,0.4390243902439025,2.0000043419927143,29.408756682027708,-0.10734459890316676,0.050632861729827845,0.22784810413097148,1.5800000429153442,83568000.0,108901572.0,,0.0,True
IHRT,2025-11-04,OTHER,2,0.2766323024054982,0.7394,19.505469206131878,0.11452516608052102,-0.03759400877416221,0.19548871416677815,3.990000009536743,24800600.0,141538861.0,2.37,0.066700004,False
IMCC,2025-10-23,FDA,7,0.31720430107526887,1.05399,41.0345722167376,-0.3411764788380133,0.0416666991890433,0.0416666991890433,1.6799999475479126,23039500.0,2076111.0,0.08,0.0214,False
IMRN,2025-11-05,FDA,7,-0.13872832369942195,0.52076,36.9940686643465,-0.025806427795854008,0.0,0.10596024346484408,1.5099999904632568,6226300.0,264365652.0,0.39,0.033800002,False
INEO,2025-10-23,CONTRACT,8,0.278118609406953,0.57804,40.44584647321703,0.2142857294909813,-0.11274510949724066,-0.058823532849172196,1.0199999809265137,7728000.0,2287982.0,0.03,0.0011,False
INTS,2025-10-30,FDA,7,2.8965904833270884,2.00000023303103,47.465166450911234,0.7076326639004354,-0.25303033162849004,-0.1287879314687496,1.3200000524520874,1433728500.0,53829621.0,0.12,0.0619,False
INTS,2025-10-31,OTHER,3,-0.2348484848484849,2.0,29.758197666477272,-0.259634870167966,-0.07123293755850237,-0.03150685110466184,0.7300000190734863,196619300.0,53829621.0,0.12,0.0619,False
IONZ,2025-10-20,TECHNICAL,0,0.040540540540540515,2.000008374437866,88.50013399100585,0.19117649327512368,-0.014814858857385194,0.2617283686071152,4.050000190734863,47457300.0,108901572.0,,0.0,True
